Day,Month,Year,Cases,Deaths,Population,Rate,Country,Code,Continent
1,1,2020,0,0,4904240,0.0,Ireland,IRL,Europe
1,1,2020,0,0,8519373,0.0,Israel,ISR,Asia
1,1,2020,0,0,60359546,0.0,Italy,ITA,Europe
1,1,2020,0,0,126860299,0.0,Japan,JPN,Asia
1,1,2020,0,0,4207077,0.0,Kuwait,KWT,Asia
1,1,2020,0,0,6855709,0.0,Lebanon,LBN,Asia
1,1,2020,0,0,2794184,0.0,Lithuania,LTU,Europe
1,1,2020,0,0,613894,0.0,Luxembourg,LUX,Europe
1,1,2020,0,0,31949789,0.0,Malaysia,MYS,Asia
1,1,2020,0,0,127575529,0.0,Mexico,MEX,America
1,1,2020,0,0,33085,0.0,Monaco,MCO,Europe
1,1,2020,0,0,28608715,0.0,Nepal,NPL,Asia
1,1,2020,0,0,17282163,0.0,Netherlands,NLD,Europe
1,1,2020,0,0,4783062,0.0,New_Zealand,NZL,Oceania
1,1,2020,0,0,200963603,0.0,Nigeria,NGA,Africa
1,1,2020,0,0,2077132,0.0,North_Macedonia,MKD,Europe
1,1,2020,0,0,5328212,0.0,Norway,NOR,Europe
1,1,2020,0,0,4974992,0.0,Oman,OMN,Asia
1,1,2020,0,0,216565317,0.0,Pakistan,PAK,Asia
1,1,2020,0,0,108116622,0.0,Philippines,PHL,Asia
1,1,2020,0,0,2832071,0.0,Qatar,QAT,Asia
1,1,2020,0,0,19414458,0.0,Romania,ROU,Europe
1,1,2020,0,0,145872260,0.0,Russia,RUS,Europe
1,1,2020,0,0,34453,0.0,San_Marino,SMR,Europe
1,1,2020,0,0,5804343,0.0,Singapore,SGP,Asia
1,1,2020,0,0,51225321,0.0,South_Korea,KOR,Asia
1,1,2020,0,0,46937060,0.0,Spain,ESP,Europe
1,1,2020,0,0,21323734,0.0,Sri_Lanka,LKA,Asia
1,1,2020,0,0,10230185,0.0,Sweden,SWE,Europe
1,1,2020,0,0,8544527,0.0,Switzerland,CHE,Europe
1,1,2020,0,0,23773881,0.0,Taiwan,CNG1925,Asia
1,1,2020,0,0,69625581,0.0,Thailand,THA,Asia
1,1,2020,0,0,9770526,0.0,United_Arab_Emirates,ARE,Asia
1,1,2020,0,0,66647112,0.0,United_Kingdom,GBR,Europe
1,1,2020,0,0,329064917,0.0,United_States_of_America,USA,America
1,1,2020,0,0,96462108,0.0,Vietnam,VNM,Asia
2,1,2020,0,0,38041757,0.0,Afghanistan,AFG,Asia
2,1,2020,0,0,43053054,0.0,Algeria,DZA,Africa
2,1,2020,0,0,2957728,0.0,Armenia,ARM,Europe
2,1,2020,0,0,25203200,0.0,Australia,AUS,Oceania
2,1,2020,0,0,8858775,0.0,Austria,AUT,Europe
2,1,2020,0,0,10047719,0.0,Azerbaijan,AZE,Europe
2,1,2020,0,0,1641164,0.0,Bahrain,BHR,Asia
2,1,2020,0,0,9452409,0.0,Belarus,BLR,Europe
2,1,2020,0,0,11455519,0.0,Belgium,BEL,Europe
2,1,2020,0,0,211049519,0.0,Brazil,BRA,America
2,1,2020,0,0,16486542,0.0,Cambodia,KHM,Asia
2,1,2020,0,0,37411038,0.0,Canada,CAN,America
2,1,2020,0,0,-1,0.0,Cases_on_an_international_conveyance_Japan,,Other
